 164	0x000f81dd	DbgSetDebugPrintCallback
 165	0x0018cf51	DbgkLkmdRegisterCallback
 166	0x002b0937	DbgkLkmdUnregisterCallback
 167	0x001e3a49	EmClientQueryRuleState
 168	0x002b16cd	EmClientRuleDeregisterNotification
 169	0x001b8817	EmClientRuleEvaluate
 170	0x002b168c	EmClientRuleRegisterNotification
 171	0x002b178b	EmProviderDeregister
 172	0x002b1a7b	EmProviderDeregisterEntry
 173	0x0017cdbe	EmProviderRegister
 174	0x002b18ec	EmProviderRegisterEntry
 175	0x0017cdd8	EmpProviderRegister
 176	0x00031737	EtwActivityIdControl
 177	0x001b97df	EtwEnableTrace
 178	0x0009c0ce	EtwEventEnabled
 179	0x000b6c23	EtwProviderEnabled
 180	0x001af864	EtwRegister
 181	0x001c4f9d	EtwRegisterClassicProvider
 182	0x00110e0e	EtwSendTraceBuffer
 183	0x001af888	EtwUnregister
 184	0x000b4705	EtwWrite
 185	0x001ba01f	EtwWriteEndScenario
 186	0x0000e1d8	EtwWriteEx
 187	0x001b756f	EtwWriteStartScenario
 188	0x00111577	EtwWriteString
 189	0x001114a1	EtwWriteTransfer
 190	0x0000d8b1	ExAcquireCacheAwarePushLockExclusive
 191	0x000814f7	ExAcquireResourceExclusiveLite
 192	0x00038691	ExAcquireResourceSharedLite
 193	0x0008d5bf	ExAcquireSharedStarveExclusive
 194	0x00020104	ExAcquireSharedWaitForExclusive
 195	0x0000e13c	ExAcquireSpinLockExclusive
 196	0x00008e51	ExAcquireSpinLockExclusiveAtDpcLevel
 197	0x0000e0bd	ExAcquireSpinLockShared
 198	0x001158c9	ExAcquireSpinLockSharedAtDpcLevel
 199	0x0000390b	ExAllocateCacheAwarePushLock
 200	0x001b7af4	ExAllocateCacheAwareRundownProtection
 201	0x000a7b6f	ExAllocateFromPagedLookasideList
 202	0x0000b976	ExAllocatePool
 203	0x001148b9	ExAllocatePoolWithQuota
 204	0x000a7b9f	ExAllocatePoolWithQuotaTag
 205	0x00121005	ExAllocatePoolWithTag
 206	0x000a2517	ExAllocatePoolWithTagPriority
 207	0x00036849	ExConvertExclusiveToSharedLite
 208	0x00198ac9	ExCreateCallback
 209	0x001159ef	ExDeleteLookasideListEx
 210	0x0001c36f	ExDeleteNPagedLookasideList
 211	0x000c28d9	ExDeletePagedLookasideList
 212	0x000952db	ExDeleteResourceLite
 213	0x0013c6dc	ExDesktopObjectType
 214	0x00006746	ExDisableResourceBoostLite
 215	0x0008afc8	ExEnterCriticalRegionAndAcquireResourceExclusive
 216	0x0001d4ab	ExEnterCriticalRegionAndAcquireResourceShared
 217	0x001155ec	ExEnterCriticalRegionAndAcquireSharedWaitForExclusive
 218	0x00084cda	ExEnterPriorityRegionAndAcquireResourceExclusive
 219	0x0008af94	ExEnterPriorityRegionAndAcquireResourceShared
 220	0x00200429	ExEnumHandleTable
 221	0x0016a010	ExEventObjectType
 222	0x00115bcd	ExExtendZone
 223	0x001d4ccf	ExFetchLicenseData
 224	0x00115a3b	ExFlushLookasideListEx
 225	0x00115819	ExFreeCacheAwarePushLock
 226	0x001b9d17	ExFreeCacheAwareRundownProtection
 227	0x00122a67	ExFreePool
 228	0x00121aba	ExFreePoolWithTag
 229	0x0009f86a	ExFreeToPagedLookasideList
 230	0x00038653	ExGetCurrentProcessorCounts
 231	0x00115191	ExGetCurrentProcessorCpuUsage
 232	0x000cd0c3	ExGetExclusiveWaiterCount
 233	0x0019f664	ExGetLicenseTamperState
 234	0x00093377	ExGetPreviousMode
 235	0x000cd0d7	ExGetSharedWaiterCount
 236	0x0000cc26	ExInitializeLookasideListEx
 237	0x0001b6c8	ExInitializeNPagedLookasideList
 238	0x00269ab9	ExInitializePagedLookasideList
 239	0x0001d997	ExInitializePushLock
 240	0x0009be83	ExInitializeResourceLite
 241	0x0017208f	ExInitializeRundownProtectionCacheAware
 242	0x0000b7b2	ExInitializeZone
 243	0x0003b140	ExInterlockedAddLargeInteger
 244	0x0003b1b0	ExInterlockedAddUlong
 245	0x0003b3fc	ExInterlockedDecrementLong
 246	0x0003b410	ExInterlockedExchangeUlong
 247	0x00115c37	ExInterlockedExtendZone
 248	0x0003b3e8	ExInterlockedIncrementLong
 249	0x0003b204	ExInterlockedInsertHeadList
 250	0x0003b268	ExInterlockedInsertTailList
 251	0x0003b338	ExInterlockedPopEntryList
 252	0x0003b390	ExInterlockedPushEntryList
 253	0x0003b2cc	ExInterlockedRemoveHeadList
 254	0x0000f444	ExIsProcessorFeaturePresent
 255	0x0008ab39	ExIsResourceAcquiredExclusiveLite
